Date,Price,Open,High,Low,Vol.,Change %
10/22/2021,5.23,5.33,5.33,5.2,11.10M,-1.88%
10/21/2021,5.33,5.4,5.4,5.3,14.95M,-1.48%
10/20/2021,5.41,5.36,5.41,5.29,16.38M,2.08%
10/18/2021,5.3,5.17,5.32,5.14,19.20M,2.91%
10/15/2021,5.15,5.13,5.16,5.13,6.65M,0.59%
10/14/2021,5.12,5.19,5.19,5.06,13.70M,-1.54%
10/13/2021,5.2,5.11,5.2,5.08,14.89M,1.76%
10/12/2021,5.11,5,5.14,4.96,21.16M,2.20%
10/11/2021,5,4.91,5.03,4.91,23.93M,2.04%
10/8/2021,4.9,4.87,4.93,4.86,7.72M,0.82%
10/7/2021,4.86,4.82,4.88,4.79,8.19M,0.83%
10/6/2021,4.82,4.72,4.82,4.72,14.84M,2.12%
10/5/2021,4.72,4.69,4.73,4.65,5.87M,0.43%
10/4/2021,4.7,4.72,4.74,4.66,9.68M,0.00%
10/1/2021,4.7,4.79,4.79,4.66,12.34M,-1.67%
9/30/2021,4.78,4.8,4.8,4.71,13.22M,-0.62%
9/29/2021,4.81,4.77,4.81,4.71,9.19M,1.48%
9/28/2021,4.74,4.72,4.76,4.65,8.51M,-1.46%
9/27/2021,4.81,4.83,4.84,4.8,9.14M,0.00%
9/24/2021,4.81,4.87,4.87,4.8,6.35M,-1.23%
9/23/2021,4.87,4.82,4.87,4.8,9.01M,1.46%
9/22/2021,4.8,4.78,4.82,4.75,3.79M,0.42%
9/21/2021,4.78,4.78,4.81,4.74,7.14M,-0.42%
9/20/2021,4.8,4.82,4.83,4.78,6.42M,-0.41%
9/17/2021,4.82,4.86,4.86,4.8,15.06M,0.42%
9/15/2021,4.8,4.77,4.83,4.76,24.75M,0.42%
9/14/2021,4.78,4.84,4.86,4.74,17.70M,-1.24%
9/13/2021,4.84,4.84,4.85,4.8,5.67M,-0.21%
9/10/2021,4.85,4.84,4.92,4.81,7.44M,0.41%
9/9/2021,4.83,4.95,4.95,4.78,18.08M,-2.23%
9/8/2021,4.94,4.91,4.97,4.91,9.36M,0.61%
9/7/2021,4.91,4.95,4.96,4.9,4.93M,-1.01%
9/6/2021,4.96,4.96,4.97,4.93,5.15M,0.00%
9/3/2021,4.96,4.93,4.97,4.91,10.24M,1.02%
9/2/2021,4.91,4.88,4.93,4.87,8.52M,0.41%
9/1/2021,4.89,4.99,4.99,4.88,13.38M,-0.41%
8/30/2021,4.91,4.9,4.94,4.85,16.73M,0.41%
8/27/2021,4.89,4.87,4.93,4.85,9.85M,-0.41%
8/26/2021,4.91,4.86,4.91,4.83,12.43M,1.03%
8/25/2021,4.86,4.83,4.88,4.82,12.69M,0.62%
8/24/2021,4.83,4.68,4.83,4.68,26.75M,3.21%
8/23/2021,4.68,4.65,4.69,4.64,7.70M,0.86%
8/20/2021,4.64,4.6,4.68,4.6,8.67M,0.87%
8/19/2021,4.6,4.6,4.62,4.58,1.80M,-0.22%
8/18/2021,4.61,4.6,4.63,4.58,10.42M,0.22%
8/17/2021,4.6,4.58,4.65,4.54,9.19M,2.00%
8/16/2021,4.51,4.58,4.6,4.5,15.12M,-1.96%
8/13/2021,4.6,4.59,4.6,4.56,3.41M,0.00%
8/12/2021,4.6,4.62,4.63,4.55,7.25M,0.44%
8/11/2021,4.58,4.52,4.75,4.52,16.68M,1.33%
8/9/2021,4.52,4.54,4.56,4.51,4.84M,-0.66%
8/6/2021,4.55,4.51,4.57,4.5,4.30M,0.00%
8/5/2021,4.55,4.51,4.57,4.51,5.79M,0.89%
8/4/2021,4.51,4.5,4.54,4.48,6.06M,-0.66%
8/3/2021,4.54,4.48,4.55,4.48,7.63M,1.57%
8/2/2021,4.47,4.45,4.47,4.44,8.26M,0.45%
7/30/2021,4.45,4.53,4.53,4.43,19.50M,-2.20%
7/29/2021,4.55,4.51,4.59,4.48,11.15M,0.89%
7/28/2021,4.51,4.51,4.54,4.48,5.13M,-0.44%
7/27/2021,4.53,4.5,4.57,4.49,8.01M,0.89%
7/26/2021,4.49,4.49,4.52,4.45,5.23M,-0.44%
7/23/2021,4.51,4.54,4.55,4.49,2.03M,-0.88%
7/22/2021,4.55,4.48,4.55,4.48,6.21M,1.56%
7/21/2021,4.48,4.58,4.58,4.46,6.97M,-1.75%
7/19/2021,4.56,4.52,4.59,4.5,10.25M,0.66%
